source_dataset,image_path,source_label,canonical_label,split_role,include_in_known_training,notes,split
trashbox,ml/data/raw/trashbox/metal/metal 716.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1952.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 362.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_386.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_839.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2644.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_759.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 506.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_241.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 2400.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_312.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/paper/paper 2501.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_50.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/metal/metal144.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 859.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_74.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/paper/paper499.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1683.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1144.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 2239.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1642.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 280.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1649.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 118.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 1081.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1887.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_87.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_657.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_494.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_365.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/paper/paper363.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_305.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 2562.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_581.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_299.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/metal/metal_414.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_782.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 2203.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1150.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 1657.jpg,metal,metal,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/cardboard/cardboard347.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_279.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 8.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 2184.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 64.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 1995.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_832.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/glass/glass224.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2064.jpg,plastic,plastic,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_704.jpg,metal,metal,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/paper/paper 1801.jpg,paper,paper,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_386.jpg,metal,metal,known,true,Known 5-class label if present,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_766.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2427.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 1172.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1211.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_540.jpg,metal,metal,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 2080.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/paper/paper216.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 896.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1985.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_103.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_291.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 525.jpg,paper,paper,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_194.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
trashnet,ml/data/raw/trashnet/cardboard/cardboard160.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/paper/paper131.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2473.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 2405.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/metal/metal_835.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1543.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1783.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_134.jpg,paper,paper,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Paper/Paper_340.jpg,paper,paper,known,true,Known 5-class label if present,known_train
trashnet,ml/data/raw/trashnet/plastic/plastic405.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1869.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 389.jpg,glass,glass,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/plastic/plastic421.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/glass/glass22.jpg,glass,glass,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Paper/Paper_44.jpg,paper,paper,known,true,Known 5-class label if present,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_455.jpg,metal,metal,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/paper/paper 2279.jpg,paper,paper,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/glass/glass91.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1268.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_910.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_524.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_355.jpg,paper,paper,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_741.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_920.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 797.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1522.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1164.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/metal/metal_409.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 107.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 2639.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1792.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_535.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 234.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 123.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 614.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2300.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1837.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1054.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 626.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 431.jpg,metal,metal,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_850.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 2237.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_26.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 103.jpg,metal,metal,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_398.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
trashnet,ml/data/raw/trashnet/glass/glass435.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_125.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_1147.jpg,plastic,plastic,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_697.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_1308.jpg,paper,paper,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_531.jpg,metal,metal,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/glass/glass 187.jpg,glass,glass,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_435.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1319.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 1762.jpg,metal,metal,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Cardboard/Cardboard_185.jpg,cardboard,cardboard,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/paper/paper 1239.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_1134.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 78.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 2081.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_675.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 2026.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2084.jpg,plastic,plastic,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_556.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1347.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 2222.jpg,metal,metal,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/cardboard/cardboard173.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_234.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
realwaste,ml/data/raw/realwaste/Cardboard/Cardboard_83.jpg,cardboard,cardboard,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1110.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1262.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Cardboard/Cardboard_358.jpg,cardboard,cardboard,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/metal/metal 132.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2588.jpg,plastic,plastic,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Paper/Paper_254.jpg,paper,paper,known,true,Known 5-class label if present,known_train
realwaste,ml/data/raw/realwaste/Paper/Paper_196.jpg,paper,paper,known,true,Known 5-class label if present,known_train
trashnet,ml/data/raw/trashnet/glass/glass156.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 166.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_299.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 2491.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_814.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_274.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1029.jpg,glass,glass,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Cardboard/Cardboard_241.jpg,cardboard,cardboard,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/glass/glass 512.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1490.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_24.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 899.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_1307.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_1005.jpg,paper,paper,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/glass/glass442.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 176.jpg,paper,paper,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_203.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_388.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1236.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 2291.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_277.jpg,glass,glass,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/cardboard/cardboard375.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 2694.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 194.jpg,metal,metal,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/glass/glass306.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_997.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/metal/metal_742.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1501.jpg,glass,glass,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Glass/Glass_83.jpg,glass,glass,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 766.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1877.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Paper/Paper_326.jpg,paper,paper,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_79.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1697.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1071.jpg,glass,glass,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_248.jpg,metal,metal,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/glass/glass 825.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1702.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 1011.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_739.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_896.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 383.jpg,glass,glass,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Glass/Glass_351.jpg,glass,glass,known,true,Known 5-class label if present,known_train
realwaste,ml/data/raw/realwaste/Glass/Glass_31.jpg,glass,glass,known,true,Known 5-class label if present,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_460.jpg,metal,metal,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/paper/paper 2081.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 1393.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_745.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 904.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 228.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1335.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 1028.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 1951.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_93.jpg,paper,paper,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/metal/metal225.jpg,metal,metal,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_370.jpg,metal,metal,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_1219.jpg,paper,paper,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Plastic/Plastic_283.jpg,plastic,plastic,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 2225.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2305.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1673.jpg,glass,glass,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Cardboard/Cardboard_356.jpg,cardboard,cardboard,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1847.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_1475.jpg,plastic,plastic,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Paper/Paper_269.jpg,paper,paper,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_152.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1044.jpg,glass,glass,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Glass/Glass_398.jpg,glass,glass,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/paper/paper 1973.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 1318.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 2081.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 826.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_785.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_716.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2658.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 915.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_190.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 1079.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 132.jpg,glass,glass,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Glass/Glass_108.jpg,glass,glass,known,true,Known 5-class label if present,known_train
garbage_v2,ml/data/raw/garbage_v2/metal/metal_220.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 2291.jpg,paper,paper,known,true,Known 5-class label,known_train
realwaste,ml/data/raw/realwaste/Metal/Metal_419.jpg,metal,metal,known,true,Known 5-class label if present,known_train
trashbox,ml/data/raw/trashbox/metal/metal 166.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_618.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_815.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2491.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/cardboard/cardboard292.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 592.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 951.jpg,metal,metal,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/metal/metal 1080.jpg,metal,metal,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/plastic/plastic38.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 905.jpg,glass,glass,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_644.jpg,plastic,plastic,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/plastic/plastic_73.jpg,plastic,plastic,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/metal/metal149.jpg,metal,metal,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/glass/glass_1036.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/paper/paper 1972.jpg,paper,paper,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/cardboard/cardboard_1167.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashnet,ml/data/raw/trashnet/cardboard/cardboard22.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
garbage_v2,ml/data/raw/garbage_v2/paper/paper_524.jpg,paper,paper,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/cardboard/cardboard 2107.jpg,cardboard,cardboard,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/glass/glass 399.jpg,glass,glass,known,true,Known 5-class label,known_train
trashbox,ml/data/raw/trashbox/plastic/plastic 2203.jpg,plastic,plastic,known,true,Known 5-class label,known_train
